0,Episode 1,260.0
0,Episode 2,260.0
0,Episode 3,210.0
0,Episode 4,170.0
0,Episode 5,170.0
0,Episode 6,230.0
0,Episode 7,640.0
0,Episode 8,200.0
0,Episode 9,210.0
0,Episode 10,110.0
0,Episode 11,260.0
0,Episode 12,160.0
0,Episode 13,140.0
0,Episode 14,170.0
0,Episode 15,170.0
0,Episode 16,160.0
0,Episode 17,160.0
0,Episode 18,220.0
0,Episode 19,180.0
0,Episode 20,160.0
0,Episode 21,210.0
0,Episode 22,240.0
0,Episode 23,180.0
0,Episode 24,140.0
0,Episode 25,220.0
0,Episode 26,380.0
0,Episode 27,210.0
0,Episode 28,210.0
0,Episode 29,180.0
0,Episode 30,160.0
0,Episode 31,160.0
0,Episode 32,230.0
0,Episode 33,120.0
0,Episode 34,200.0
0,Episode 35,250.0
0,Episode 36,250.0
0,Episode 37,200.0
0,Episode 38,290.0
0,Episode 39,120.0
0,Episode 40,240.0
0,Episode 41,240.0
0,Episode 42,170.0
0,Episode 43,160.0
0,Episode 44,280.0
0,Episode 45,200.0
0,Episode 46,210.0
0,Episode 47,230.0
0,Episode 48,220.0
0,Episode 49,190.0
0,Episode 50,320.0
